,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01
Equity Capital,17,23,23,23,23,30,30,30,30,33,33,33
Reserves,4,44,32,10,-17,97,109,84,-10,-53,-88,-110
Preference Capital,65,5,5,5,14,0,0,0,0,10,10,10
Borrowings,90,162,162,144,144,145,172,174,200,220,220,220
Other Liabilities,114,63,72,86,90,102,139,213,250,245,239,224
Total Liabilities,225,293,289,263,240,374,450,502,471,445,404,366
Fixed Assets,176,219,242,226,197,205,268,355,364,357,331,299
CWIP,16,18,11,5,5,12,60,32,30,22,15,13
Investments,0,0,0,0,0,0,0,2,2,2,2,2
Other Assets,32,55,37,31,38,157,122,114,75,63,56,53
Total Assets,225,293,289,263,240,374,450,502,471,445,404,366
