,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,241.0,393.0,419.0,512.0,685.0,936.0,823
Expenses,167.0,257.0,234.0,253.0,385.0,533.0,459
Operating Profit,74.0,137.0,186.0,260.0,300.0,403.0,364
OPM %,31.0,35.0,44.0,51.0,44.0,43.0,44
Other Income,5.0,11.0,11.0,25.0,30.0,30.0,45
Interest,1.0,0.0,0.0,0.0,0.0,1.0,0
Depreciation,8.0,11.0,14.0,17.0,25.0,36.0,41
Profit before tax,70.0,137.0,182.0,267.0,305.0,396.0,367
Tax %,30.0,28.0,23.0,26.0,25.0,25.0,
Net Profit,49.0,98.0,140.0,198.0,228.0,295.0,275
EPS in Rs,345.41,689.84,1051.67,18.68,21.51,27.78,25.93
