,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,907.0,1032.0,1291.0,1496.0,1609.0,1570.0,1733.0,1815.0,1698.0,1088.0,1903.0,2229.0,2135
Expenses,790.0,922.0,1146.0,1321.0,1413.0,1373.0,1487.0,1573.0,1529.0,1033.0,1569.0,1860.0,1827
Operating Profit,117.0,110.0,146.0,174.0,196.0,197.0,246.0,241.0,169.0,55.0,334.0,369.0,308
OPM %,13.0,11.0,11.0,12.0,12.0,13.0,14.0,13.0,10.0,5.0,18.0,17.0,14
Other Income,11.0,19.0,10.0,16.0,14.0,25.0,20.0,24.0,34.0,41.0,29.0,40.0,44
Interest,24.0,25.0,29.0,31.0,31.0,32.0,34.0,48.0,43.0,30.0,18.0,20.0,20
Depreciation,22.0,22.0,29.0,41.0,52.0,55.0,61.0,62.0,73.0,61.0,59.0,58.0,56
Profit before tax,81.0,82.0,98.0,119.0,127.0,136.0,171.0,154.0,88.0,5.0,287.0,332.0,275
Tax %,30.0,33.0,35.0,34.0,34.0,33.0,35.0,35.0,18.0,-2.0,26.0,24.0,
Net Profit,57.0,55.0,64.0,79.0,84.0,91.0,112.0,101.0,72.0,5.0,213.0,252.0,212
EPS in Rs,12.1,11.73,13.55,16.8,17.93,19.41,23.81,21.58,15.3,1.14,45.34,53.73,45.18
