,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.17,1.25,0.77,1.25,0.31,0.74,1.12,0.2,0.21,0.32,0.6,0.45,0.38
Expenses,1.95,0.98,0.61,0.51,1.05,0.84,0.41,0.36,0.4,0.31,0.51,0.32,0.29
Operating Profit,0.22,0.27,0.16,0.74,-0.74,-0.1,0.71,-0.16,-0.19,0.01,0.09,0.13,0.09
OPM %,10.14,21.6,20.78,59.2,-238.71,-13.51,63.39,-80.0,-90.48,3.12,15.0,28.89,23.68
Other Income,0.12,0.03,0.03,0.02,0.0,0.2,0.04,0.07,0.01,0.05,0.0,0.0,0.00
Interest,0.0,0.0,0.0,0.0,0.01,0.03,0.06,0.01,0.04,0.05,0.06,0.08,0.08
Depreciation,0.02,0.01,0.01,0.01,0.07,0.06,0.04,0.01,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.32,0.29,0.18,0.75,-0.82,0.01,0.65,-0.11,-0.22,0.01,0.03,0.05,0.01
Tax %,31.25,31.03,33.33,29.33,30.49,300.0,29.23,27.27,22.73,100.0,66.67,0.0,
Net Profit,0.22,0.19,0.12,0.54,-0.57,-0.02,0.46,-0.09,-0.17,-0.01,0.02,0.04,0.01
EPS in Rs,1.17,1.01,0.64,2.88,-3.04,-0.11,2.45,-0.48,-0.91,-0.05,0.11,0.21,0.05
