,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5088.0,6191.0,7760.0,9121.0,12375.0,5171.0,6604.0,8874.0,7894
Expenses,4542.0,5649.0,7002.0,9113.0,11840.0,4984.0,7517.0,9878.0,8133
Operating Profit,546.0,543.0,758.0,8.0,534.0,187.0,-913.0,-1005.0,-238
OPM %,11.0,9.0,10.0,0.0,4.0,4.0,-14.0,-11.0,-3
Other Income,210.0,149.0,124.0,79.0,811.0,827.0,949.0,1023.0,1419
Interest,126.0,66.0,93.0,134.0,546.0,483.0,487.0,509.0,472
Depreciation,180.0,199.0,231.0,256.0,1735.0,1561.0,1293.0,1023.0,856
Profit before tax,450.0,427.0,557.0,-302.0,-937.0,-1030.0,-1744.0,-1513.0,-148
Tax %,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,
Net Profit,450.0,427.0,557.0,-302.0,-937.0,-1030.0,-1744.0,-1513.0,-148
EPS in Rs,7.5,7.13,9.3,-5.04,-15.61,-17.14,-28.98,-25.14,-1.54
