,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,189.0,234.0,239.0,236.0,240.0,200.0,22.0,72.0,251.0,262
Expenses,169.0,194.0,178.0,174.0,193.0,204.0,57.0,40.0,165.0,164
Operating Profit,20.0,40.0,61.0,63.0,47.0,-4.0,-35.0,32.0,85.0,98
OPM %,11.0,17.0,25.0,26.0,20.0,-2.0,-159.0,45.0,34.0,37
Other Income,2.0,5.0,0.0,1.0,6.0,1.0,24.0,3.0,78.0,42
Interest,115.0,111.0,121.0,128.0,134.0,152.0,163.0,188.0,53.0,3
Depreciation,80.0,88.0,95.0,93.0,102.0,243.0,96.0,91.0,-51.0,-51
Profit before tax,-172.0,-154.0,-154.0,-156.0,-182.0,-397.0,-269.0,-244.0,161.0,187
Tax %,38.0,33.0,23.0,0.0,-91.0,0.0,0.0,0.0,-122.0,
Net Profit,-107.0,-104.0,-118.0,-156.0,-348.0,-397.0,-269.0,-244.0,357.0,379
EPS in Rs,-13.43,-13.0,-14.8,-17.75,-39.49,-45.13,-30.51,-27.6,8.68,7.33
