,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,62.0,67.0,72.0,69.0,94.0,131.0,121.0,112.0,106.0,134.0,171.0,195
Expenses,56.0,59.0,62.0,58.0,80.0,113.0,105.0,97.0,93.0,120.0,153.0,170
Operating Profit,6.0,8.0,10.0,11.0,15.0,18.0,16.0,15.0,13.0,14.0,18.0,26
OPM %,10.0,12.0,14.0,15.0,15.0,14.0,13.0,13.0,13.0,10.0,11.0,13
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
Interest,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5
Depreciation,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5
Profit before tax,3.0,4.0,5.0,6.0,8.0,10.0,8.0,6.0,6.0,7.0,11.0,16
Tax %,33.0,34.0,34.0,34.0,34.0,30.0,29.0,29.0,28.0,25.0,22.0,
Net Profit,2.0,3.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,8.0,12
EPS in Rs,9.29,7.5,3.3,3.52,4.68,6.33,5.14,4.07,4.13,4.7,7.84,11.45
