,Mar 2011,Mar 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.0,4.0,79.0,94.0,59.0,16.0,7.0,0.0,3.0,-2,0.0,2.0,0
Expenses,34.0,9.0,73.0,71.0,61.0,16.0,11.0,9.0,5.0,-1,8.0,9.0,10
Operating Profit,1.0,-5.0,5.0,23.0,-2.0,-1.0,-4.0,-8.0,-2.0,-1,-8.0,-7.0,-9
OPM %,2.0,-112.0,7.0,24.0,-3.0,-5.0,-60.0,-1909.0,-84.0,,-3945.0,-429.0,-4675
Other Income,1.0,2.0,4.0,5.0,6.0,3.0,3.0,3.0,1.0,1,2.0,8.0,0
Interest,0.0,0.0,8.0,26.0,20.0,20.0,19.0,20.0,26.0,35,42.0,48.0,52
Depreciation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Profit before tax,1.0,-2.0,1.0,1.0,-16.0,-18.0,-21.0,-26.0,-28.0,-35,-48.0,-47.0,-62
Tax %,38.0,29.0,-11.0,86.0,1.0,-3.0,0.0,1.0,0.0,0,-1.0,0.0,
Net Profit,1.0,-2.0,1.0,0.0,-15.0,-18.0,-21.0,-26.0,-28.0,-35,-49.0,-47.0,-62
EPS in Rs,0.66,-1.34,0.57,0.12,-11.26,-13.38,-14.43,-16.97,-18.22,-23.27,-32.51,-31.1,-40.67
