,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,13,13,13,13,13,13,13
Reserves,30,33,36,53,63,68,69,73,82,88
Borrowings,22,23,17,3,8,10,1,0,11,23
Other Liabilities,27,45,17,49,49,41,42,37,42,39
Total Liabilities,85,107,76,117,133,132,124,123,148,162
Fixed Assets,15,16,17,16,19,19,19,22,31,30
CWIP,0,0,0,0,0,0,0,0,7,9
Investments,0,0,0,0,0,0,0,1,1,1
Other Assets,70,90,59,101,113,112,104,99,109,122
Total Assets,85,107,76,117,133,132,124,123,148,162
