,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,174.0,258.0,338.0,222.0,428.0,394.0,384.0,355.0,461.0,720.0,673.0,875.0,639.0
Expenses,148.0,218.0,287.0,183.0,367.0,345.0,346.0,317.0,405.0,662.0,603.0,799.0,550.0
Operating Profit,26.0,40.0,51.0,38.0,62.0,49.0,37.0,39.0,56.0,58.0,70.0,76.0,89.0
OPM %,15.0,16.0,15.0,17.0,14.0,12.0,10.0,11.0,12.0,8.0,10.0,9.0,14.0
Other Income,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,-1.0,1.0,5.0
Interest,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,7.0,7.0,6.0,8.0,21.0
Depreciation,12.0,13.0,15.0,16.0,15.0,17.0,19.0,18.0,20.0,20.0,28.0,25.0,26.0
Profit before tax,13.0,26.0,34.0,22.0,44.0,31.0,19.0,18.0,31.0,36.0,34.0,44.0,47.0
Tax %,22.0,25.0,26.0,25.0,25.0,24.0,25.0,26.0,26.0,26.0,28.0,26.0,34.0
Net Profit,10.0,20.0,26.0,17.0,35.0,24.0,15.0,14.0,25.0,28.0,26.0,33.0,31.0
EPS in Rs,0.37,0.73,0.92,0.63,1.18,0.81,0.48,0.5,0.85,0.95,0.86,1.12,1.13
