,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.65,22.69,30.31,33.47,39.07,46.89,48.05,16.67,19.56,13.92,11.49,20.42,22.57
Expenses,14.55,19.46,29.43,34.2,38.52,43.64,44.79,14.34,16.53,11.06,9.9,16.53,16.95
Operating Profit,2.1,3.23,0.88,-0.73,0.55,3.25,3.26,2.33,3.03,2.86,1.59,3.89,5.62
OPM %,12.61,14.24,2.9,-2.18,1.41,6.93,6.78,13.98,15.49,20.55,13.84,19.05,24.90
Other Income,0.09,0.1,0.72,0.38,0.13,0.23,0.15,0.2,0.24,0.14,0.18,0.99,0.79
Interest,0.9,1.74,2.22,1.96,2.14,1.98,1.9,1.46,1.32,1.36,1.36,1.13,1.12
Depreciation,0.25,0.52,0.83,1.29,1.23,1.17,1.09,1.06,1.01,0.99,1.01,0.98,0.96
Profit before tax,1.04,1.07,-1.45,-3.6,-2.69,0.33,0.42,0.01,0.94,0.65,-0.6,2.77,4.33
Tax %,33.65,28.04,-14.48,-5.28,-4.83,63.64,23.81,-2300.0,-3.19,-4.62,6.67,-0.36,
Net Profit,0.7,0.77,-1.67,-3.78,-2.82,0.12,0.32,0.23,0.97,0.68,-0.56,2.79,4.35
EPS in Rs,12.73,14.0,-1.45,-3.29,-2.45,0.1,0.28,0.2,0.84,0.59,-0.49,2.43,3.79
