,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,3,3,3,3,3,3,3,3,6,6
Reserves,1,1,1,3,3,3,3,3,3,3,4,3,5
Borrowings,0,0,0,0,0,0,0,0,0,1,1,1,1
Other Liabilities,0,0,0,0,0,0,0,0,0,0,33,37,39
Total Liabilities,2,2,2,6,6,6,6,6,6,8,41,48,51
Fixed Assets,0,0,0,0,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,1,3,3,3
Other Assets,2,2,2,6,6,6,6,6,6,6,38,45,48
Total Assets,2,2,2,6,6,6,6,6,6,8,41,48,51
