,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,259.0,275.0,290.0,324.0,378.0,462.0,487.0,431.0,699.0,805.0,875
Expenses,196.0,207.0,235.0,252.0,299.0,379.0,404.0,342.0,577.0,667.0,719
Operating Profit,63.0,68.0,56.0,71.0,79.0,83.0,83.0,89.0,122.0,138.0,155
OPM %,24.0,25.0,19.0,22.0,21.0,18.0,17.0,21.0,17.0,17.0,18
Other Income,2.0,2.0,2.0,7.0,10.0,9.0,17.0,8.0,8.0,22.0,23
Interest,2.0,5.0,10.0,11.0,12.0,9.0,7.0,5.0,8.0,11.0,11
Depreciation,11.0,21.0,11.0,17.0,23.0,33.0,36.0,37.0,43.0,48.0,49
Profit before tax,52.0,43.0,36.0,50.0,54.0,50.0,57.0,55.0,79.0,102.0,118
Tax %,28.0,43.0,-1.0,43.0,27.0,37.0,51.0,23.0,32.0,34.0,
Net Profit,38.0,25.0,36.0,29.0,39.0,32.0,28.0,42.0,54.0,68.0,78
EPS in Rs,11.17,7.36,4.3,3.4,3.65,2.93,2.55,3.93,5.01,6.27,7.19
