,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2023,TTM
Sales,76,104.0,165.0,175.0,228.0,320.0,307.0,358.0,457.0,1476.0,1533
Expenses,72,97.0,153.0,179.0,205.0,300.0,296.0,347.0,443.0,1397.0,1463
Operating Profit,4,7.0,12.0,-4.0,23.0,20.0,11.0,11.0,14.0,79.0,70
OPM %,5,7.0,7.0,-2.0,10.0,6.0,3.0,3.0,3.0,5.0,5
Other Income,0,0.0,1.0,5.0,1.0,2.0,2.0,4.0,1.0,33.0,33
Interest,2,2.0,4.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,13
Depreciation,1,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,11.0,13
Profit before tax,2,4.0,8.0,-7.0,15.0,11.0,4.0,5.0,4.0,92.0,76
Tax %,29,34.0,37.0,-7.0,20.0,33.0,33.0,32.0,33.0,18.0,
Net Profit,1,3.0,5.0,-7.0,12.0,7.0,3.0,3.0,3.0,76.0,62
EPS in Rs,,1.46,2.44,-3.52,6.01,3.71,1.31,1.46,1.31,65.05,53.38
