,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.14,0.73,0.9,0.97,1.27,1.81,1.39,1.85,1.84,1.81,1.36,1.8,2.18
Expenses,1.1,0.64,0.81,0.6,1.12,1.72,1.32,1.8,1.8,1.77,1.31,1.76,1.74
Operating Profit,0.04,0.09,0.09,0.37,0.15,0.09,0.07,0.05,0.04,0.04,0.05,0.04,0.44
OPM %,3.51,12.33,10.0,38.14,11.81,4.97,5.04,2.7,2.17,2.21,3.68,2.22,20.18
Other Income,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01
Interest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.40
Depreciation,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.01,-0.0,-0.0,-0.0,0.01,0.00
Profit before tax,0.03,0.08,0.08,0.35,0.14,0.08,0.04,0.04,0.04,0.04,0.05,0.03,0.05
Tax %,33.33,37.5,37.5,11.43,92.86,-0.0,100.0,25.0,25.0,25.0,20.0,33.33,
Net Profit,0.02,0.05,0.06,0.31,-0.0,0.08,-0.0,0.04,0.03,0.03,0.04,0.03,0.03
EPS in Rs,0.01,0.03,0.03,0.17,-0.0,0.04,-0.0,0.02,0.02,0.02,0.02,0.02,0.02
