,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1308.0,1473.0,1806.0,1800.0,1759.0,1772.0,1671.0,1588
Expenses,1154.0,1262.0,1376.0,1336.0,1321.0,1361.0,1273.0,1323
Operating Profit,154.0,211.0,429.0,465.0,437.0,411.0,398.0,265
OPM %,12.0,14.0,24.0,26.0,25.0,23.0,24.0,17
Other Income,15.0,9.0,13.0,30.0,38.0,24.0,34.0,40
Interest,78.0,83.0,137.0,130.0,133.0,250.0,144.0,147
Depreciation,100.0,113.0,227.0,245.0,260.0,252.0,231.0,221
Profit before tax,-10.0,24.0,79.0,120.0,82.0,-67.0,58.0,-64
Tax %,-109.0,73.0,16.0,31.0,34.0,-24.0,36.0,
Net Profit,-22.0,6.0,66.0,83.0,55.0,-82.0,37.0,-63
EPS in Rs,-1.79,0.52,5.5,6.89,4.55,-6.79,3.04,-5.19
