,Mar 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1862.0,1906.0,495.0,548.0,548.0,744.0,829.0,1202.0,1208.0,583.0,329.0,379.0,537
Expenses,1614.0,1652.0,753.0,615.0,519.0,736.0,813.0,1139.0,1149.0,641.0,366.0,435.0,489
Operating Profit,248.0,253.0,-258.0,-67.0,28.0,8.0,16.0,63.0,59.0,-58.0,-36.0,-56.0,48
OPM %,13.0,13.0,-52.0,-12.0,5.0,1.0,2.0,5.0,5.0,-10.0,-11.0,-15.0,9
Other Income,26.0,10.0,67.0,121.0,46.0,83.0,105.0,70.0,-15.0,12.0,-53.0,155.0,24
Interest,227.0,448.0,231.0,301.0,272.0,298.0,104.0,95.0,115.0,126.0,125.0,67.0,42
Depreciation,20.0,23.0,4.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6
Profit before tax,28.0,-208.0,-426.0,-253.0,-204.0,-213.0,11.0,31.0,-77.0,-178.0,-221.0,25.0,25
Tax %,54.0,21.0,-3.0,-0.0,0.0,35.0,118.0,3.0,0.0,-1.0,-19.0,119.0,
Net Profit,42.0,-269.0,-506.0,-266.0,-204.0,-137.0,-2.0,31.0,-77.0,-179.0,-264.0,-5.0,-6
EPS in Rs,8.78,-56.83,-107.04,-28.81,-5.79,-1.38,-0.02,0.3,-0.75,-1.73,-2.54,-0.03,-0.04
