,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,56.35,60.5,49.29,24.8,16.79,13.24,12.69,10.82,8.85,9.04
Expenses,50.29,55.74,47.64,30.2,22.67,13.96,24.8,14.95,13.64,10.45
Operating Profit,6.06,4.76,1.65,-5.4,-5.88,-0.72,-12.11,-4.13,-4.79,-1.41
OPM %,10.75,7.87,3.35,-21.77,-35.02,-5.44,-95.43,-38.17,-54.12,-15.6
Other Income,-0.76,0.87,0.27,0.02,0.12,0.13,0.04,0.34,0.21,0.17
Interest,2.14,2.27,1.83,2.48,3.01,2.54,2.01,0.07,0.12,0.01
Depreciation,0.82,0.86,1.47,1.53,1.49,1.17,0.93,1.39,0.28,0.69
Profit before tax,2.34,2.5,-1.38,-9.39,-10.26,-4.3,-15.01,-5.25,-4.98,-1.94
Tax %,-11.54,27.6,21.01,0.0,49.81,34.19,25.78,26.1,9.84,18.56
Net Profit,2.6,1.81,-1.09,-9.39,-5.15,-2.83,-11.14,-3.89,-4.49,-1.58
EPS in Rs,1.47,1.02,-0.62,-5.3,-2.91,-1.6,-6.29,-2.2,-2.54,-0.89
