,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2582.0,1240.0,765.0,2048.0,2101.0,2259.0,2927.0,4040.0,3212.0,2518.0,2831.0,3074.0,3565
Expenses,2770.0,1263.0,984.0,2362.0,2133.0,2198.0,2779.0,3737.0,3083.0,2298.0,2745.0,2940.0,3257
Operating Profit,-188.0,-23.0,-220.0,-314.0,-32.0,61.0,149.0,303.0,129.0,220.0,86.0,134.0,308
OPM %,-7.0,-2.0,-29.0,-15.0,-2.0,3.0,5.0,8.0,4.0,9.0,3.0,4.0,9
Other Income,28.0,7.0,-25.0,3.0,8.0,1.0,9.0,20.0,49.0,4.0,7.0,-30.0,-31
Interest,503.0,107.0,10.0,10.0,1.0,4.0,5.0,38.0,19.0,54.0,45.0,67.0,73
Depreciation,206.0,143.0,72.0,159.0,154.0,148.0,149.0,143.0,134.0,121.0,88.0,49.0,49
Profit before tax,-868.0,-266.0,-326.0,-481.0,-180.0,-91.0,3.0,142.0,24.0,49.0,-40.0,-12.0,155
Tax %,10.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,-0.0,
Net Profit,-782.0,-266.0,-322.0,-480.0,-180.0,-91.0,3.0,142.0,24.0,49.0,-40.0,-12.0,155
EPS in Rs,-681.08,-231.69,-280.49,-416.71,-156.72,-71.62,2.32,111.32,18.91,38.84,-31.67,-9.28,121.71
