,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.25,2.6,2.61,3.93,3.16,2.38,0.64,0.00,0.00,0.00,0.00,0.00
Expenses,0.05,2.77,2.28,3.54,2.87,2.2,0.67,0.14,0.08,0.08,0.14,0.12
Operating Profit,0.20,-0.17,0.33,0.39,0.29,0.18,-0.03,-0.14,-0.08,-0.08,-0.14,-0.12
OPM %,80.00,-6.54,12.64,9.92,9.18,7.56,-4.69,,,,,
Other Income,0.00,0.54,0.24,0.28,0.26,0.29,0.46,0.32,0.46,0.30,0.53,0.51
Interest,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Depreciation,0.11,0.2,0.4,0.47,0.42,0.43,0.4,0.38,0.37,0.37,0.36,0.36
Profit before tax,0.09,0.17,0.17,0.2,0.13,0.04,0.03,-0.20,0.01,-0.15,0.03,0.03
Tax %,22.22,29.41,64.71,30.0,0.0,-125.0,-233.33,50.00,-1100.00,86.67,-466.67,-500.00
Net Profit,0.07,0.12,0.05,0.13,0.12,0.09,0.1,-0.11,0.12,-0.03,0.16,0.18
EPS in Rs,,0.01,0.0,0.01,0.01,0.0,0.0,-0.00,0.01,-0.00,0.01,0.01
