,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,97.0,108.0,93.0,108.0,113.0,116.0,104.0,129.0,135.0,131.0,118.0,148.0,154.0
Expenses,78.0,86.0,80.0,85.0,87.0,91.0,90.0,101.0,105.0,101.0,103.0,116.0,116.0
Operating Profit,19.0,21.0,13.0,23.0,26.0,24.0,14.0,28.0,30.0,29.0,16.0,32.0,37.0
OPM %,20.0,20.0,14.0,21.0,23.0,21.0,13.0,22.0,22.0,22.0,13.0,22.0,24.0
Other Income,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Profit before tax,15.0,17.0,9.0,19.0,22.0,21.0,11.0,25.0,27.0,26.0,14.0,30.0,35.0
Tax %,24.0,25.0,23.0,30.0,30.0,29.0,31.0,28.0,26.0,26.0,25.0,26.0,26.0
Net Profit,11.0,13.0,7.0,14.0,16.0,15.0,8.0,18.0,20.0,19.0,10.0,22.0,26.0
EPS in Rs,6.74,7.78,4.18,8.21,9.52,8.85,4.55,11.01,12.07,11.55,6.26,13.36,15.64
