,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,133,136,157.0,240.0,173.0,172.0,137.0,233.0,313.0,409
Expenses,123,125,146.0,218.0,156.0,158.0,114.0,198.0,272.0,354
Operating Profit,9,11,11.0,22.0,17.0,14.0,23.0,35.0,41.0,55
OPM %,7,8,7.0,9.0,10.0,8.0,17.0,15.0,13.0,14
Other Income,1,1,5.0,3.0,3.0,3.0,7.0,2.0,2.0,1
Interest,6,9,5.0,4.0,5.0,3.0,0.0,1.0,1.0,2
Depreciation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
Profit before tax,4,3,11.0,20.0,15.0,14.0,30.0,36.0,40.0,52
Tax %,29,0,12.0,41.0,45.0,8.0,24.0,26.0,26.0,
Net Profit,3,3,9.0,12.0,8.0,13.0,23.0,27.0,30.0,39
EPS in Rs,,,0.78,1.0,0.71,1.09,1.92,2.29,2.52,3.27
