,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.15,5.17,5.24,1.96,1.86,2.93,12.38,19.38,21.68
Expenses,2.77,4.72,4.84,3.02,2.26,3.4,10.6,17.25,19.51
Operating Profit,0.38,0.45,0.4,-1.06,-0.4,-0.47,1.78,2.13,2.17
OPM %,12.06,8.7,7.63,-54.08,-21.51,-16.04,14.38,10.99,10.01
Other Income,0.09,0.02,0.18,0.19,-0.03,0.07,0.01,0.06,0.36
Interest,0.2,0.18,0.17,0.13,0.15,0.22,0.28,0.51,0.50
Depreciation,0.09,0.03,0.03,0.1,0.15,0.15,0.2,0.25,0.28
Profit before tax,0.18,0.26,0.38,-1.1,-0.73,-0.77,1.31,1.43,1.75
Tax %,38.89,30.77,28.95,-2.73,60.27,22.08,36.64,18.18,
Net Profit,0.11,0.17,0.26,-1.13,-0.29,-0.6,0.83,1.17,1.33
EPS in Rs,4.4,0.46,0.51,-2.22,-0.57,-1.18,1.63,2.3,2.02
