,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01
Equity Capital,171,194,194,194,194,194,247,329,329,329,329,329
Reserves,640,1381,1590,1750,1931,2411,2956,2377,2500,2748,-14213,-15189
Preference Capital,0,0,0,0,0,376,376,0,0,486,0,0
Borrowings,719,1525,1894,2726,3738,4624,7439,9651,11509,13013,15351,15513
Other Liabilities,95,466,1174,1371,1385,2497,2518,2048,1949,3305,1949,2341
Total Liabilities,1626,3567,4853,6040,7248,9727,13160,14405,16287,19395,3416,2994
Fixed Assets,14,38,37,30,25,29,139,43,256,257,210,162
CWIP,25,1,0,0,3,2,0,7,12,23,0,0
Investments,861,1395,2108,2515,3146,3999,4790,5042,5304,5377,170,174
Other Assets,726,2133,2708,3495,4074,5697,8231,9313,10715,13738,3035,2658
Total Assets,1626,3567,4853,6040,7248,9727,13160,14405,16287,19395,3416,2994
