,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01
Sales,132,845.0,1616.0,2773.0,3369.0,3405.0,3523.0,4382.0,3676.0,3537.0,180.0,100.0
Expenses,110,304.0,1083.0,2213.0,2717.0,2813.0,2744.0,3945.0,2922.0,2705.0,1634.0,396.0
Operating Profit,22,542.0,532.0,560.0,652.0,592.0,779.0,438.0,754.0,832.0,-1455.0,-297.0
OPM %,17,64.0,33.0,20.0,19.0,17.0,22.0,10.0,21.0,24.0,-810.0,-298.0
Other Income,111,105.0,89.0,138.0,197.0,267.0,359.0,669.0,843.0,1173.0,-13805.0,-637.0
Interest,61,145.0,160.0,273.0,399.0,525.0,744.0,1220.0,1388.0,1650.0,1288.0,19.0
Depreciation,3,4.0,10.0,11.0,11.0,11.0,10.0,10.0,14.0,22.0,21.0,20.0
Profit before tax,70,497.0,452.0,414.0,439.0,323.0,384.0,-123.0,196.0,332.0,-16569.0,-973.0
Tax %,42,35.0,36.0,39.0,38.0,18.0,17.0,21.0,-21.0,24.0,-3.0,0.0
Net Profit,40,325.0,288.0,252.0,271.0,266.0,319.0,-97.0,236.0,252.0,-17000.0,-973.0
EPS in Rs,,9.87,8.76,7.67,8.24,8.09,9.69,-2.96,7.19,7.65,-516.79,-29.58
