,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,220.0,244.0,276.0,284.0,451.0,465.0,648.0,856.0,868
Expenses,154.0,175.0,206.0,207.0,325.0,350.0,500.0,708.0,708
Operating Profit,67.0,69.0,70.0,76.0,126.0,115.0,148.0,148.0,160
OPM %,30.0,28.0,25.0,27.0,28.0,25.0,23.0,17.0,18
Other Income,2.0,6.0,14.0,15.0,-4.0,16.0,18.0,20.0,22
Interest,24.0,21.0,23.0,25.0,30.0,28.0,20.0,27.0,29
Depreciation,18.0,17.0,13.0,18.0,24.0,31.0,33.0,39.0,44
Profit before tax,27.0,37.0,49.0,48.0,67.0,71.0,113.0,102.0,110
Tax %,16.0,16.0,18.0,27.0,30.0,9.0,20.0,17.0,
Net Profit,23.0,31.0,40.0,35.0,47.0,64.0,90.0,85.0,83
EPS in Rs,133.6,213.9,224.92,19.17,10.69,15.92,24.0,24.07,23.85
