,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,208,260,1488.0,1745.0,1871.0,2107.0,2073.0,2194.0,2722.0,2777.0,2623
Expenses,189,234,1301.0,1527.0,1621.0,1811.0,1807.0,1872.0,2296.0,2416.0,2321
Operating Profit,19,26,187.0,218.0,251.0,296.0,266.0,322.0,427.0,361.0,302
OPM %,9,10,13.0,12.0,13.0,14.0,13.0,15.0,16.0,13.0,12
Other Income,2,1,6.0,3.0,141.0,25.0,13.0,41.0,35.0,46.0,69
Interest,7,8,6.0,11.0,7.0,8.0,8.0,6.0,7.0,10.0,11
Depreciation,2,2,21.0,26.0,26.0,26.0,37.0,40.0,44.0,53.0,59
Profit before tax,12,16,167.0,184.0,359.0,286.0,234.0,317.0,411.0,343.0,300
Tax %,40,30,31.0,18.0,27.0,33.0,21.0,25.0,26.0,26.0,
Net Profit,7,11,116.0,151.0,263.0,192.0,185.0,237.0,305.0,253.0,222
EPS in Rs,,,8.28,10.78,19.01,13.88,13.39,17.08,21.99,18.34,16.18
