,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,68.0,79.0,113.0,139.0,218.0,287.0,341.0,406.0,380.0,353.0,362.0,311.0,310
Expenses,51.0,65.0,98.0,117.0,187.0,223.0,245.0,286.0,269.0,257.0,261.0,204.0,195
Operating Profit,17.0,14.0,15.0,22.0,31.0,64.0,96.0,120.0,111.0,96.0,101.0,107.0,115
OPM %,25.0,18.0,13.0,16.0,14.0,22.0,28.0,30.0,29.0,27.0,28.0,34.0,37
Other Income,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,6.0,3.0,4.0,3
Interest,3.0,3.0,2.0,2.0,3.0,12.0,18.0,22.0,22.0,33.0,27.0,34.0,40
Depreciation,9.0,7.0,8.0,11.0,12.0,25.0,33.0,36.0,44.0,48.0,48.0,56.0,52
Profit before tax,7.0,6.0,6.0,11.0,18.0,30.0,46.0,66.0,46.0,22.0,28.0,21.0,26
Tax %,26.0,35.0,40.0,25.0,11.0,20.0,28.0,11.0,-2.0,88.0,50.0,38.0,
Net Profit,5.0,4.0,4.0,8.0,16.0,24.0,33.0,59.0,46.0,3.0,14.0,13.0,24
EPS in Rs,1.8,1.01,1.08,2.3,4.5,4.42,5.85,9.46,7.11,0.37,1.8,1.54,2.85
