,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,63.76,54.18,71.72,43.92,18.4,15.18,19.73,22.46,16.5,12.62,14.52,18.38,19.54
Expenses,62.13,53.71,69.1,40.15,15.62,14.57,17.99,20.46,15.2,11.47,13.23,16.88,17.62
Operating Profit,1.63,0.47,2.62,3.77,2.78,0.61,1.74,2.0,1.3,1.15,1.29,1.5,1.92
OPM %,2.56,0.87,3.65,8.58,15.11,4.02,8.82,8.9,7.88,9.11,8.88,8.16,9.83
Other Income,0.43,1.44,-5.31,-7.95,-1.07,1.07,0.1,-0.17,0.03,0.15,0.05,0.0,0.13
Interest,2.49,1.41,1.47,3.15,1.81,1.38,1.22,1.19,0.88,0.75,0.66,0.68,0.78
Depreciation,0.84,1.26,0.74,0.39,0.25,0.22,0.19,0.15,0.13,0.17,0.15,0.18,0.19
Profit before tax,-1.27,-0.76,-4.9,-7.72,-0.35,0.08,0.43,0.49,0.32,0.38,0.53,0.64,1.08
Tax %,-20.47,-114.47,-9.18,-4.02,-171.43,187.5,-18.6,20.41,40.62,13.16,11.32,7.81,
Net Profit,-1.53,-1.63,-5.35,-8.04,-0.94,-0.07,0.5,0.4,0.18,0.33,0.47,0.59,1.05
EPS in Rs,-1.38,-1.47,-4.84,-7.27,-0.85,-0.06,0.45,0.36,0.16,0.3,0.42,0.53,0.84
