,2010-06-01,2011-06-01,2012-12-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Sales,9787.0,12226.0,20186.0,13897.0,11057.0,8915.0,4488.0,5256.0,6173.0,5366.0,1422.0,2193.0
Expenses,9028.0,11183.0,18255.0,12925.0,9887.0,7810.0,3460.0,4051.0,4703.0,4006.0,1237.0,2634.0
Operating Profit,759.0,1043.0,1931.0,972.0,1170.0,1105.0,1027.0,1205.0,1470.0,1360.0,186.0,-441.0
OPM %,8.0,9.0,10.0,7.0,11.0,12.0,23.0,23.0,24.0,25.0,13.0,-20.0
Other Income,207.0,161.0,821.0,305.0,213.0,40.0,215.0,163.0,97.0,-14.0,174.0,-1305.0
Interest,507.0,615.0,1647.0,726.0,679.0,507.0,522.0,578.0,598.0,719.0,817.0,762.0
Depreciation,278.0,308.0,632.0,452.0,542.0,573.0,654.0,725.0,816.0,1034.0,781.0,665.0
Profit before tax,180.0,281.0,473.0,99.0,162.0,65.0,66.0,65.0,154.0,-407.0,-1238.0,-3173.0
Tax %,58.0,50.0,28.0,4.0,1.0,32.0,17.0,39.0,-14.0,9.0,1.0,0.0
Net Profit,70.0,140.0,338.0,95.0,160.0,44.0,55.0,40.0,175.0,-370.0,-1220.0,-3173.0
EPS in Rs,2.18,4.33,7.87,2.29,3.94,0.92,0.81,0.15,3.19,-7.28,-24.66,-63.25
