,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,83.0,85.0,85.0,101.0,118.0,175.0,203.0,212.0,198.0,198.0,273.0,323.0,313
Expenses,74.0,79.0,75.0,88.0,103.0,160.0,179.0,184.0,176.0,174.0,240.0,297.0,293
Operating Profit,9.0,5.0,10.0,13.0,15.0,15.0,24.0,28.0,22.0,25.0,33.0,26.0,20
OPM %,11.0,6.0,12.0,13.0,13.0,8.0,12.0,13.0,11.0,12.0,12.0,8.0,6
Other Income,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3
Interest,4.0,6.0,6.0,8.0,9.0,10.0,7.0,8.0,9.0,7.0,10.0,11.0,12
Depreciation,5.0,6.0,7.0,7.0,7.0,8.0,8.0,10.0,11.0,12.0,14.0,16.0,17
Profit before tax,0.0,-6.0,-4.0,-1.0,0.0,-3.0,10.0,11.0,2.0,7.0,11.0,2.0,-5
Tax %,-100.0,35.0,24.0,58.0,12.0,44.0,28.0,28.0,36.0,24.0,26.0,27.0,
Net Profit,1.0,-4.0,-3.0,-0.0,0.0,-1.0,7.0,8.0,1.0,5.0,8.0,2.0,-5
EPS in Rs,0.46,-3.29,-2.17,-0.39,0.17,-1.14,5.78,6.27,0.87,3.92,6.48,1.37,-3.60
