,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.26,6.7,6.37,3.12,2.14,1.83,10.9,18.07,7.14,6.54,6.93,10.6,8.63
Expenses,6.12,8.95,5.91,1.84,10.2,-1.16,2.63,-0.93,10.29,4.36,1.7,3.98,4.15
Operating Profit,1.14,-2.25,0.46,1.28,-8.06,2.99,8.27,19.0,-3.15,2.18,5.23,6.62,4.48
OPM %,15.7,-33.58,7.22,41.03,-376.64,163.39,75.87,105.15,-44.12,33.33,75.47,62.45,51.91
Other Income,0.02,0.19,0.01,0.01,0.02,0.0,0.14,0.0,0.1,0.3,0.3,1.45,1.46
Interest,0.0,1.57,2.15,0.2,0.06,0.0,4.64,7.43,0.46,0.0,0.08,0.12,0.22
Depreciation,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.03
Profit before tax,1.14,-3.65,-1.69,1.09,-8.1,2.99,3.77,11.57,-3.52,2.48,5.44,7.94,5.69
Tax %,31.58,29.86,-6.51,13.76,26.17,36.79,26.26,26.97,27.56,33.87,35.66,25.94,
Net Profit,0.78,-2.57,-1.81,0.93,-5.98,1.88,2.78,8.45,-2.54,1.63,3.51,5.89,4.42
EPS in Rs,1.12,-3.67,-2.59,1.33,-8.55,2.69,2.57,7.45,-2.14,1.37,2.95,4.96,3.73
