,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.22,1.08,1.86,1.79,1.78,2.07,3.6,3.43,4.1,2.38,3.34,3.61,4.11
Expenses,1.63,0.52,1.1,1.28,1.42,2.54,3.41,3.18,3.92,2.36,3.12,3.31,3.78
Operating Profit,-1.41,0.56,0.76,0.51,0.36,-0.47,0.19,0.25,0.18,0.02,0.22,0.3,0.33
OPM %,-640.91,51.85,40.86,28.49,20.22,-22.71,5.28,7.29,4.39,0.84,6.59,8.31,8.03
Other Income,1.44,-0.25,0.0,0.04,0.09,0.13,0.0,-0.04,0.06,0.15,0.03,0.08,0.12
Interest,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.03,0.05,0.05,0.04,0.04
Depreciation,0.0,0.0,0.0,0.01,0.03,0.05,0.06,0.05,0.06,0.05,0.04,0.06,0.08
Profit before tax,0.03,0.31,0.76,0.54,0.4,-0.4,0.12,0.13,0.15,0.07,0.16,0.28,0.33
Tax %,0.0,0.0,25.0,31.48,32.5,0.0,8.33,15.38,13.33,14.29,25.0,25.0,
Net Profit,0.03,0.31,0.57,0.38,0.27,-0.4,0.11,0.1,0.12,0.06,0.12,0.21,0.23
EPS in Rs,0.09,0.89,1.64,1.09,2.59,-3.83,1.05,0.96,1.15,0.57,0.46,0.81,0.89
