,Aug 2011,Aug 2012,Aug 2013,Aug 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.82,0.85,0.14,-0.28,0.00,0.00,0.45,0.08,0.01,0.01,0.01
Expenses,0.65,0.25,0.4,0.37,0.58,0.28,0.35,0.24,0.22,0.45,0.69,0.43,0.53
Operating Profit,-0.65,-0.25,0.42,0.48,-0.44,-0.56,-0.35,-0.24,0.23,-0.37,-0.68,-0.42,-0.52
OPM %,,,51.22,56.47,-314.29,,,,51.11,-462.5,-6800.0,-4200.0,-5200.00
Other Income,0.91,0.76,0.0,0.0,1.1,0.65,0.56,0.44,0.0,0.34,0.37,0.96,1.04
Interest,0.01,0.00,0.01,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00
Depreciation,0.03,0.03,0.02,0.02,0.03,0.03,0.00,0.00,0.0,0.0,0.0,0.01,0.00
Profit before tax,0.22,0.48,0.39,0.46,0.63,0.06,0.21,0.20,0.23,-0.03,-0.31,0.53,0.52
Tax %,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,
Net Profit,0.22,0.48,0.38,0.46,0.63,0.07,0.21,0.19,0.23,-0.03,-0.31,0.54,0.50
EPS in Rs,0.44,0.96,0.76,0.92,1.26,0.14,0.42,0.38,0.46,-0.06,-0.62,1.08,1.00
