,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1187.0,1273.0,1115.0,1648.0,1667.0,1691.0,1736.0,1863.0,1708.0,1314.0,1490.0,1723.0,1725
Expenses,1109.0,1191.0,1032.0,1509.0,1536.0,1593.0,1657.0,1767.0,1671.0,1287.0,1452.0,1653.0,1662
Operating Profit,78.0,82.0,82.0,139.0,131.0,98.0,79.0,96.0,37.0,28.0,38.0,70.0,62
OPM %,7.0,6.0,7.0,8.0,8.0,6.0,5.0,5.0,2.0,2.0,3.0,4.0,4
Other Income,87.0,9.0,12.0,12.0,15.0,10.0,54.0,16.0,13.0,-195.0,24.0,24.0,9
Interest,62.0,44.0,32.0,42.0,42.0,52.0,49.0,47.0,55.0,45.0,27.0,29.0,29
Depreciation,37.0,25.0,22.0,33.0,38.0,30.0,30.0,30.0,44.0,40.0,35.0,59.0,66
Profit before tax,67.0,23.0,40.0,76.0,65.0,27.0,54.0,35.0,-48.0,-253.0,-0.0,5.0,-23
Tax %,38.0,26.0,29.0,25.0,24.0,35.0,28.0,35.0,-74.0,3.0,-786.0,306.0,
Net Profit,42.0,17.0,28.0,57.0,49.0,17.0,39.0,23.0,-84.0,-246.0,-4.0,-11.0,-32
EPS in Rs,4.79,1.11,2.68,4.71,4.2,1.22,3.16,1.69,-6.42,-18.69,0.72,-0.71,-1.77
