,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.0,7.0,22.0,30.0,42.0,34.0,22.0,46.0,63.0,80.0,98.0,60.0,76
Expenses,10.0,6.0,20.0,28.0,39.0,32.0,20.0,39.0,54.0,65.0,78.0,50.0,63
Operating Profit,2.0,1.0,2.0,2.0,3.0,3.0,2.0,6.0,9.0,15.0,20.0,10.0,13
OPM %,19.0,16.0,11.0,8.0,7.0,8.0,10.0,13.0,15.0,18.0,20.0,17.0,17
Other Income,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,2.0,1.0,2.0,2.0,3.0,3.0,2.0,6.0,9.0,16.0,22.0,12.0,18
Tax %,37.0,29.0,34.0,32.0,36.0,34.0,25.0,29.0,23.0,25.0,26.0,28.0,
Net Profit,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,7.0,12.0,17.0,9.0,13
EPS in Rs,3.0,1.63,3.16,3.8,4.1,4.74,3.49,10.07,16.65,28.04,39.15,20.97,30.32
