,Sep 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,225.0,231.0,257.0,125.0,266.0,206.0,167.0,247.0,245.0,276.0,255.0,300.0,326
Expenses,207.0,210.0,235.0,113.0,243.0,189.0,152.0,231.0,229.0,255.0,231.0,279.0,302
Operating Profit,18.0,21.0,23.0,12.0,24.0,17.0,15.0,16.0,16.0,20.0,24.0,21.0,24
OPM %,8.0,9.0,9.0,10.0,9.0,8.0,9.0,6.0,7.0,7.0,9.0,7.0,7
Other Income,-0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,2
Interest,11.0,11.0,11.0,7.0,12.0,9.0,6.0,5.0,7.0,8.0,8.0,6.0,7
Depreciation,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4
Profit before tax,4.0,5.0,8.0,4.0,9.0,5.0,6.0,8.0,11.0,12.0,13.0,13.0,14
Tax %,20.0,27.0,10.0,61.0,31.0,31.0,35.0,37.0,27.0,30.0,32.0,29.0,
Net Profit,3.0,4.0,7.0,2.0,6.0,4.0,4.0,5.0,8.0,9.0,9.0,9.0,10
EPS in Rs,3.83,4.73,8.87,2.09,8.02,4.66,4.78,6.18,10.39,10.76,11.05,11.5,12.99
