,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,817.0,971.0,1092.0,1432.0,1584.0,1482.0,1895.0,2091.0,1579.0,1631.0,2179.0,2372.0,2311
Expenses,735.0,871.0,1009.0,1349.0,1488.0,1347.0,1758.0,2081.0,1514.0,1218.0,1704.0,2097.0,2063
Operating Profit,82.0,100.0,83.0,83.0,96.0,135.0,137.0,9.0,65.0,414.0,475.0,275.0,249
OPM %,10.0,10.0,8.0,6.0,6.0,9.0,7.0,0.0,4.0,25.0,22.0,12.0,11
Other Income,11.0,11.0,11.0,5.0,3.0,4.0,5.0,12.0,-31.0,13.0,14.0,15.0,11
Interest,2.0,4.0,3.0,15.0,11.0,14.0,14.0,13.0,16.0,15.0,8.0,5.0,4
Depreciation,14.0,14.0,13.0,21.0,27.0,25.0,25.0,27.0,32.0,36.0,38.0,38.0,37
Profit before tax,77.0,93.0,77.0,52.0,60.0,100.0,103.0,-18.0,-14.0,376.0,443.0,247.0,218
Tax %,30.0,32.0,35.0,32.0,-6.0,31.0,36.0,33.0,29.0,25.0,27.0,26.0,
Net Profit,54.0,63.0,50.0,35.0,64.0,69.0,66.0,-12.0,-10.0,280.0,323.0,183.0,161
EPS in Rs,30.69,35.9,28.72,19.91,36.3,39.4,37.66,-7.09,-5.41,159.35,183.41,104.07,91.83
