,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,926.0,1030.0,1076.0,1145.0,1281.0,1321.0,1200.0,1703.0,2026.0,2156
Expenses,0,833.0,900.0,937.0,996.0,1122.0,1142.0,1026.0,1516.0,1793.0,1887
Operating Profit,-0,93.0,130.0,139.0,149.0,159.0,179.0,174.0,188.0,233.0,269
OPM %,,10.0,13.0,13.0,13.0,12.0,14.0,14.0,11.0,12.0,12
Other Income,0,2.0,3.0,2.0,2.0,1.0,4.0,-5.0,4.0,18.0,20
Interest,0,33.0,35.0,29.0,18.0,17.0,22.0,17.0,14.0,23.0,29
Depreciation,0,33.0,35.0,37.0,36.0,37.0,52.0,56.0,58.0,63.0,70
Profit before tax,-0,28.0,62.0,76.0,97.0,106.0,108.0,96.0,119.0,164.0,190
Tax %,0,32.0,40.0,34.0,33.0,27.0,20.0,23.0,24.0,22.0,
Net Profit,-0,19.0,38.0,50.0,65.0,77.0,87.0,74.0,91.0,128.0,146
EPS in Rs,-0.20,1.6,3.12,4.11,5.35,6.39,7.18,6.11,7.52,10.11,11.72
