,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,87.0,115.0,159.0,198.0,262.0,299.0,149.0,257.0,256.0,285
Expenses,62.0,80.0,114.0,137.0,194.0,211.0,109.0,208.0,207.0,196
Operating Profit,25.0,35.0,44.0,61.0,68.0,89.0,41.0,49.0,49.0,89
OPM %,29.0,31.0,28.0,31.0,26.0,30.0,27.0,19.0,19.0,31
Other Income,0.0,2.0,1.0,4.0,2.0,2.0,2.0,7.0,7.0,9
Interest,8.0,9.0,12.0,15.0,21.0,24.0,27.0,17.0,14.0,44
Depreciation,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4
Profit before tax,17.0,27.0,32.0,48.0,48.0,65.0,14.0,38.0,40.0,50
Tax %,39.0,38.0,33.0,35.0,35.0,37.0,38.0,34.0,30.0,
Net Profit,10.0,17.0,22.0,31.0,31.0,41.0,9.0,25.0,28.0,35
EPS in Rs,10.56,6.66,7.14,9.47,8.7,11.06,2.46,5.9,5.65,6.67
