,Mar 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,0,27.0,92.0,88.0,85.0,376.0,579.0,686.0,735.0,876.0,1031.0,1048
Expenses,0,8,28.0,90.0,87.0,82.0,355.0,539.0,561.0,586.0,727.0,897.0,913
Operating Profit,-0,-8,-1.0,3.0,1.0,3.0,21.0,40.0,125.0,149.0,149.0,134.0,135
OPM %,,,-4.0,3.0,1.0,4.0,6.0,7.0,18.0,20.0,17.0,13.0,13
Other Income,0,7,8.0,2.0,3.0,4.0,3.0,5.0,1.0,-4.0,2.0,1.0,1
Interest,0,0,0.0,4.0,2.0,0.0,67.0,69.0,65.0,54.0,50.0,48.0,47
Depreciation,0,11,4.0,3.0,6.0,5.0,30.0,34.0,34.0,33.0,35.0,37.0,37
Profit before tax,-0,-13,2.0,-2.0,-4.0,3.0,-73.0,-58.0,27.0,57.0,65.0,50.0,52
Tax %,0,0,0.0,561.0,294.0,0.0,41.0,29.0,43.0,4.0,25.0,29.0,
Net Profit,-0,-13,2.0,10.0,8.0,3.0,-43.0,-41.0,16.0,55.0,49.0,36.0,36
EPS in Rs,,-0.70,0.04,0.19,0.15,0.05,-0.82,-0.73,0.28,0.98,0.87,0.64,0.66
