,Mar 2011,Mar 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.0,1.0,-37,-9,12.0,20.0,24.0,47.0,74.0,44.0,46.0,47.0,64
Expenses,12.0,11.0,37,8,4.0,-35.0,8.0,30.0,62.0,33.0,26.0,32.0,42
Operating Profit,18.0,-11.0,-74,-17,8.0,55.0,16.0,17.0,12.0,11.0,20.0,15.0,22
OPM %,60.0,-1889.0,,,68.0,281.0,67.0,36.0,16.0,24.0,44.0,33.0,35
Other Income,1.0,-0.0,1,6,8.0,-35.0,2.0,-0.0,-0.0,2.0,3.0,2.0,1
Interest,14.0,14.0,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Depreciation,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Profit before tax,4.0,-25.0,-86,-15,15.0,19.0,17.0,16.0,11.0,11.0,21.0,15.0,22
Tax %,27.0,-8.0,-0,-1,4.0,31.0,17.0,23.0,27.0,23.0,21.0,26.0,
Net Profit,3.0,-28.0,-87,-15,14.0,13.0,14.0,13.0,8.0,8.0,17.0,11.0,17
EPS in Rs,1.04,-10.44,-32.75,-5.75,5.36,5.06,5.39,4.76,2.98,3.1,5.45,3.46,5.19
