,Sep 2011,Sep 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,54.0,58.0,59.0,102.0,76.0,82.0,94.0,112.0,118.0,119.0,145.0,164.0,174
Expenses,42.0,45.0,46.0,77.0,55.0,56.0,69.0,83.0,86.0,83.0,106.0,123.0,129
Operating Profit,12.0,13.0,14.0,25.0,21.0,25.0,25.0,29.0,32.0,36.0,39.0,41.0,45
OPM %,22.0,22.0,23.0,24.0,27.0,31.0,26.0,26.0,27.0,30.0,27.0,25.0,26
Other Income,7.0,9.0,8.0,14.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,14
Interest,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0
Depreciation,3.0,3.0,3.0,6.0,5.0,6.0,6.0,6.0,7.0,8.0,8.0,10.0,10
Profit before tax,17.0,19.0,19.0,33.0,24.0,27.0,28.0,32.0,33.0,36.0,40.0,43.0,49
Tax %,30.0,30.0,34.0,35.0,34.0,35.0,34.0,29.0,26.0,24.0,26.0,26.0,
Net Profit,12.0,13.0,13.0,21.0,15.0,18.0,18.0,23.0,25.0,27.0,29.0,32.0,36
EPS in Rs,26.25,29.64,29.28,48.67,35.22,40.25,41.25,52.59,55.87,61.63,66.73,72.3,82.23
