,2011-03-01,2012-09-01,2013-09-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,888.0,1163.0,153.0,108.0,109.0,85.0,75.0,69.0,66.0,63.0,65.0,52.0
Expenses,683.0,1117.0,235.0,156.0,97.0,75.0,61.0,85.0,59.0,57.0,60.0,50.0
Operating Profit,205.0,46.0,-82.0,-48.0,12.0,10.0,14.0,-16.0,7.0,6.0,6.0,2.0
OPM %,23.0,4.0,-53.0,-44.0,11.0,12.0,19.0,-24.0,11.0,9.0,9.0,4.0
Other Income,9.0,34.0,63.0,62.0,19.0,-3.0,2.0,0.0,3.0,0.0,0.0,460.0
Interest,61.0,73.0,51.0,70.0,56.0,52.0,52.0,52.0,52.0,52.0,52.0,26.0
Depreciation,54.0,73.0,53.0,57.0,11.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0
Profit before tax,100.0,-67.0,-122.0,-113.0,-36.0,-51.0,-42.0,-74.0,-47.0,-50.0,-51.0,432.0
Tax %,-10.0,-6.0,37.0,13.0,6.0,1.0,1.0,10.0,-9.0,2.0,1.0,5.0
Net Profit,110.0,-71.0,-77.0,-99.0,-33.0,-51.0,-42.0,-66.0,-51.0,-49.0,-50.0,412.0
EPS in Rs,32.3,-20.96,-22.51,-28.98,-9.83,-14.98,-12.29,-19.48,-15.06,-14.46,-14.77,13.54
