,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,399.0,425.0,450.0,471.0,532.0,632.0,662.0,825.0,808.0,652.0,859.0,1078.0,1066
Expenses,339.0,370.0,386.0,403.0,447.0,528.0,555.0,691.0,724.0,547.0,707.0,935.0,922
Operating Profit,60.0,55.0,64.0,69.0,85.0,104.0,106.0,134.0,84.0,105.0,152.0,143.0,145
OPM %,15.0,13.0,14.0,15.0,16.0,16.0,16.0,16.0,10.0,16.0,18.0,13.0,14
Other Income,1.0,0.0,1.0,7.0,-12.0,21.0,16.0,3.0,13.0,1.0,9.0,23.0,19
Interest,40.0,34.0,36.0,31.0,25.0,18.0,29.0,6.0,23.0,14.0,12.0,19.0,19
Depreciation,16.0,17.0,18.0,20.0,20.0,19.0,22.0,22.0,30.0,32.0,35.0,36.0,37
Profit before tax,5.0,4.0,12.0,24.0,28.0,87.0,71.0,109.0,44.0,59.0,115.0,111.0,108
Tax %,-97.0,51.0,46.0,60.0,33.0,38.0,33.0,33.0,-6.0,27.0,26.0,26.0,
Net Profit,9.0,2.0,6.0,10.0,19.0,54.0,48.0,73.0,47.0,43.0,85.0,83.0,77
EPS in Rs,5.78,1.4,3.97,5.98,10.98,21.3,19.0,28.56,18.26,16.8,32.96,32.88,30.85
