,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.78,4.03,3.3,3.42,3.13,4.09,4.5,5.63,8.41,6.59,7.74,2.61,7.56
Expenses,1.83,1.73,1.77,1.72,1.52,1.76,2.11,1.95,2.35,2.16,2.01,1.7,1.95
Operating Profit,1.95,2.3,1.53,1.7,1.61,2.33,2.39,3.68,6.06,4.43,5.73,0.91,5.61
OPM %,51.59,57.07,46.36,49.71,51.44,56.97,53.11,65.36,72.06,67.22,74.03,34.87,74.21
Other Income,0.01,0.0,0.0,0.0,0.0,0.06,0.44,0.3,0.07,0.07,0.23,2.07,2.58
Interest,0.45,0.38,0.52,0.51,0.64,0.98,1.28,1.38,0.72,0.99,1.54,1.93,1.57
Depreciation,0.19,0.23,0.25,0.26,0.22,0.18,0.18,0.18,0.18,0.1,0.15,0.18,0.23
Profit before tax,1.32,1.69,0.76,0.93,0.75,1.23,1.37,2.42,5.23,3.41,4.27,0.87,6.39
Tax %,32.58,32.54,46.05,31.18,29.33,32.52,20.44,28.1,27.92,26.69,27.63,20.69,
Net Profit,0.9,1.15,0.41,0.64,0.53,0.83,1.09,1.74,3.77,2.49,3.1,0.69,6.56
EPS in Rs,2.86,3.65,1.3,2.03,1.68,2.64,3.46,2.75,5.96,3.94,4.9,1.09,10.38
