,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,552.0,209.0,243.0,287.0,279.0,307.0,186.0,184.0,182.0,196.0,174.0,174.0,175
Expenses,1096.0,194.0,226.0,286.0,252.0,298.0,160.0,141.0,134.0,140.0,121.0,125.0,128
Operating Profit,-544.0,15.0,17.0,1.0,28.0,9.0,26.0,43.0,48.0,55.0,53.0,50.0,47
OPM %,-99.0,7.0,7.0,0.0,10.0,3.0,14.0,23.0,26.0,28.0,31.0,28.0,27
Other Income,1113.0,11.0,27.0,36.0,15.0,14.0,16.0,15.0,13.0,16.0,9.0,11.0,15
Interest,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,13.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1
Profit before tax,550.0,21.0,39.0,32.0,39.0,20.0,41.0,57.0,59.0,70.0,61.0,60.0,61
Tax %,2.0,40.0,22.0,21.0,24.0,8.0,22.0,18.0,8.0,10.0,14.0,25.0,
Net Profit,537.0,12.0,30.0,25.0,29.0,18.0,32.0,47.0,55.0,62.0,53.0,45.0,23
EPS in Rs,48.24,1.1,2.72,2.25,2.62,1.64,2.84,4.19,4.91,5.6,4.72,4.03,2.04
