,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,101,102,159,192,192,286,24.0,26.0,29.0,45.0,141.0,212
Expenses,75,76,131,162,162,247,8.0,9.0,15.0,34.0,116.0,164
Operating Profit,26,26,28,31,30,39,16.0,17.0,13.0,11.0,24.0,48
OPM %,25,25,18,16,16,14,66.0,66.0,46.0,25.0,17.0,23
Other Income,1,5,13,1,6,-4,11.0,17.0,25.0,5.0,27.0,5
Interest,5,3,6,8,11,15,10.0,18.0,22.0,35.0,34.0,40
Depreciation,5,7,19,17,19,21,4.0,5.0,8.0,19.0,22.0,29
Profit before tax,17,20,15,6,5,-2,14.0,10.0,8.0,-38.0,-5.0,-16
Tax %,32,32,27,-164,-8,260,27.0,21.0,37.0,6.0,135.0,
Net Profit,11,14,11,17,5,4,10.0,8.0,5.0,-35.0,2.0,-11
EPS in Rs,,,,,,,3.52,2.72,1.71,-11.78,0.53,-3.59
