,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,40.61,40.61,40.61,40.61,40.61,40.61,40.61,40.61,40.61
Reserves,2.25,-2.13,-7.27,-14.09,-22.6,-29.93,-32.9,-34.58,-35.28
Borrowings,47.38,55.36,57.07,63.33,68.48,75.14,83.81,89.07,94.34
Other Liabilities,0.89,1.66,2.06,2.11,3.97,2.0,3.99,4.69,5.39
Total Liabilities,91.13,95.5,92.47,91.96,90.46,87.82,95.51,99.79,105.06
Fixed Assets,79.3,78.94,74.77,72.05,67.93,64.82,67.12,65.82,69.38
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.73,1.74,1.74,1.75,1.75,1.8,1.87,1.92,1.76
Other Assets,10.1,14.82,15.96,18.16,20.78,21.2,26.52,32.05,33.92
Total Assets,91.13,95.5,92.47,91.96,90.46,87.82,95.51,99.79,105.06
