,Mar 2007,Mar 2008,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,408.0,442.0,497.0,502.0,934.0,1134.0,1051.0,854.0,1169.0,1319.0,1267.0,1468
Expenses,172.0,219.0,292.0,298.0,499.0,577.0,552.0,506.0,526.0,621.0,655.0,697
Operating Profit,236.0,223.0,206.0,204.0,435.0,558.0,498.0,349.0,643.0,698.0,612.0,771
OPM %,58.0,50.0,41.0,41.0,47.0,49.0,47.0,41.0,55.0,53.0,48.0,53
Other Income,2.0,4.0,2.0,1.0,13.0,22.0,30.0,36.0,4.0,8.0,23.0,9
Interest,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,8.0,9.0,10.0,10
Depreciation,4.0,6.0,9.0,10.0,13.0,14.0,29.0,34.0,36.0,37.0,40.0,40
Profit before tax,234.0,221.0,199.0,195.0,435.0,566.0,491.0,341.0,603.0,660.0,586.0,728
Tax %,33.0,32.0,30.0,25.0,26.0,29.0,29.0,19.0,18.0,19.0,25.0,
Net Profit,156.0,151.0,139.0,147.0,321.0,402.0,348.0,275.0,494.0,535.0,440.0,563
EPS in Rs,31.19,12.12,11.12,11.73,25.29,31.68,27.83,21.41,38.97,42.09,34.44,44.36
