,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,169.0,184.0,201.0,155.0,210.0,220.0,157.0,111.0,156.0,123.0,154.0,154.0,164
Expenses,136.0,156.0,186.0,136.0,183.0,179.0,150.0,112.0,156.0,114.0,132.0,173.0,177
Operating Profit,33.0,28.0,14.0,18.0,28.0,41.0,7.0,-1.0,0.0,8.0,22.0,-19.0,-13
OPM %,19.0,15.0,7.0,12.0,13.0,19.0,5.0,-1.0,0.0,7.0,14.0,-12.0,-8
Other Income,4.0,3.0,3.0,3.0,6.0,8.0,12.0,13.0,5.0,5.0,10.0,22.0,21
Interest,0.0,0.0,0.0,1.0,2.0,2.0,2.0,6.0,3.0,2.0,1.0,6.0,7
Depreciation,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2
Profit before tax,29.0,24.0,9.0,17.0,30.0,45.0,15.0,4.0,-0.0,9.0,29.0,-6.0,-1
Tax %,30.0,33.0,4.0,19.0,26.0,36.0,29.0,-39.0,-356.0,86.0,32.0,21.0,
Net Profit,21.0,16.0,9.0,14.0,22.0,29.0,10.0,5.0,-1.0,1.0,19.0,-4.0,0
EPS in Rs,26.43,20.72,11.37,18.15,28.53,37.09,13.48,6.64,-0.94,1.61,24.9,-5.74,0.47
