,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,390,356.0,335.0,301.0,216.0,106.0,132.0,132.0,128.0,66.0,44.0,49.0,43
Expenses,373,340.0,323.0,293.0,210.0,105.0,122.0,126.0,119.0,80.0,47.0,90.0,88
Operating Profit,17,16.0,13.0,8.0,6.0,1.0,10.0,6.0,9.0,-14.0,-3.0,-42.0,-45
OPM %,4,5.0,4.0,3.0,3.0,1.0,8.0,5.0,7.0,-21.0,-6.0,-86.0,-104
Other Income,2,3.0,5.0,4.0,3.0,6.0,8.0,10.0,2.0,6.0,5.0,62.0,67
Interest,11,11.0,10.0,13.0,14.0,13.0,12.0,11.0,7.0,6.0,6.0,6.0,4
Depreciation,7,7.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3
Profit before tax,1,1.0,1.0,-7.0,-10.0,-10.0,2.0,1.0,0.0,-17.0,-7.0,11.0,14
Tax %,13,-8.0,-25.0,35.0,45.0,21.0,18.0,-35.0,144.0,-1.0,53.0,-35.0,
Net Profit,1,1.0,1.0,-4.0,-5.0,-8.0,2.0,2.0,-0.0,-17.0,-3.0,15.0,14
EPS in Rs,,0.37,0.44,-1.58,-1.99,-2.93,0.65,0.58,-0.07,-5.67,-1.07,4.85,4.53
