,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,1.48,47.76,14.99,18.03,39.58,57.41,23.4,24.39,7.19,23.58,19.58
Expenses,0.11,1.45,44.45,13.71,14.99,29.89,53.32,21.98,23.66,14.4,23.6,20.20
Operating Profit,-0.07,0.03,3.31,1.28,3.04,9.69,4.09,1.42,0.73,-7.21,-0.02,-0.62
OPM %,-175.00,2.03,6.93,8.54,16.86,24.48,7.12,6.07,2.99,-100.28,-0.08,-3.17
Other Income,0.08,0.00,0.05,0.44,0.1,0.3,0.43,0.17,0.26,0.3,0.45,-2.56
Interest,0.00,0.00,0.28,0.6,0.53,0.33,0.08,0.1,0.3,0.06,0.04,0.04
Depreciation,0.00,0.00,0.11,0.08,0.06,0.11,0.42,0.42,0.4,0.4,0.32,0.20
Profit before tax,0.01,0.03,2.97,1.04,2.55,9.55,4.02,1.07,0.29,-7.37,0.07,-3.42
Tax %,0.00,33.33,34.01,32.69,33.33,35.08,41.79,51.4,37.93,0.0,14.29,
Net Profit,0.01,0.02,1.97,0.71,1.71,6.2,2.34,0.52,0.18,-7.37,0.05,-3.34
EPS in Rs,,,15.15,3.94,9.5,3.39,0.94,0.21,0.07,-2.96,0.02,-1.34
