,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,973.0,1230.0,1089.0,1652.0,2118.0,2752.0,3963.0,3031.0,4206.0,6927.0,6980
Expenses,899.0,1128.0,975.0,1521.0,1934.0,2538.0,3650.0,2804.0,3928.0,6505.0,6506
Operating Profit,74.0,102.0,114.0,131.0,184.0,214.0,313.0,226.0,278.0,422.0,474
OPM %,8.0,8.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,7
Other Income,7.0,7.0,3.0,9.0,9.0,9.0,6.0,28.0,30.0,49.0,60
Interest,32.0,43.0,53.0,64.0,54.0,25.0,43.0,42.0,46.0,112.0,148
Depreciation,18.0,26.0,31.0,40.0,49.0,62.0,85.0,92.0,108.0,139.0,164
Profit before tax,31.0,40.0,33.0,36.0,89.0,136.0,191.0,120.0,154.0,220.0,221
Tax %,27.0,29.0,26.0,38.0,30.0,30.0,14.0,31.0,28.0,25.0,
Net Profit,22.0,29.0,24.0,22.0,62.0,95.0,164.0,83.0,111.0,164.0,164
EPS in Rs,9.96,13.26,11.1,9.3,19.81,29.78,50.37,24.22,32.41,46.66,46.55
