,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4832.0,5398.0,5993.0,5900.0,6197.0,6668.0,6535
Expenses,4271.0,4755.0,5319.0,5379.0,5781.0,6297.0,6189
Operating Profit,561.0,642.0,673.0,521.0,416.0,371.0,346
OPM %,12.0,12.0,11.0,9.0,7.0,6.0,5
Other Income,86.0,107.0,143.0,106.0,398.0,127.0,142
Interest,4.0,9.0,20.0,15.0,16.0,15.0,23
Depreciation,102.0,111.0,129.0,142.0,147.0,185.0,199
Profit before tax,541.0,629.0,667.0,470.0,650.0,297.0,267
Tax %,35.0,35.0,26.0,25.0,13.0,25.0,
Net Profit,351.0,410.0,490.0,352.0,567.0,224.0,205
EPS in Rs,27.64,32.3,38.64,27.73,44.64,17.26,15.67
