,Mar 2011,Jun 2012,Sep 2013,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.03,10.1,0.29,0.01,0.1,0.08,0.07,0.00,1.19,0.14,0.00,0.00,0.0
Expenses,7.52,9.26,0.66,0.38,0.47,0.36,0.26,0.53,0.37,0.6,0.62,3.21,2.79
Operating Profit,7.51,0.84,-0.37,-0.37,-0.37,-0.28,-0.19,-0.53,0.82,-0.46,-0.62,-3.21,-2.79
OPM %,49.97,8.32,-127.59,-3700.0,-370.0,-350.0,-271.43,,68.91,-328.57,,,
Other Income,0.05,-0.85,-0.02,0.0,0.26,0.0,0.0,0.00,0.0,0.01,0.00,0.00,0.0
Interest,0.33,1.11,1.43,1.14,1.72,1.14,1.14,1.14,1.14,0.0,0.00,0.00,0.0
Depreciation,1.77,3.32,4.12,0.19,2.06,0.27,0.27,0.27,0.42,0.42,0.16,0.02,0.02
Profit before tax,5.46,-4.44,-5.94,-1.7,-3.89,-1.69,-1.6,-1.94,-0.74,-0.87,-0.78,-3.23,-2.81
Tax %,28.02,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.00,0.00,
Net Profit,3.93,-4.44,-5.94,-1.7,-3.89,-1.69,-1.61,-1.94,-0.73,-0.87,-0.78,-3.23,-2.81
EPS in Rs,4.41,-4.98,-6.67,-1.77,-4.05,-1.48,-1.41,-1.70,-0.64,-0.76,-0.68,-2.84,-2.47
