,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,TTM
Sales,219.0,304.0,317.0,303.0,341.0,367.0,383.0,433.0,412.0,290.0,368.0,469.0,481
Expenses,158.0,173.0,180.0,188.0,208.0,222.0,233.0,263.0,259.0,205.0,234.0,284.0,299
Operating Profit,60.0,130.0,137.0,115.0,133.0,145.0,150.0,170.0,153.0,86.0,134.0,186.0,182
OPM %,28.0,43.0,43.0,38.0,39.0,39.0,39.0,39.0,37.0,29.0,36.0,40.0,38
Other Income,9.0,5.0,5.0,6.0,9.0,20.0,3.0,9.0,5.0,11.0,8.0,21.0,21
Interest,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,3.0,2.0,2
Depreciation,8.0,12.0,12.0,13.0,13.0,14.0,14.0,17.0,32.0,34.0,35.0,34.0,33
Profit before tax,60.0,123.0,129.0,107.0,128.0,150.0,138.0,162.0,120.0,58.0,103.0,170.0,169
Tax %,32.0,31.0,35.0,37.0,35.0,35.0,36.0,34.0,28.0,27.0,26.0,26.0,
Net Profit,41.0,84.0,84.0,67.0,83.0,97.0,89.0,106.0,87.0,42.0,76.0,127.0,125
EPS in Rs,27.33,56.53,56.23,45.16,55.62,65.15,59.75,71.27,58.16,28.27,51.04,84.9,83.83
