,Mar 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,115.0,114.0,94.0,157.0,190.0,149.0,220.0,213.0,205.0,206.0,280.0,371.0,417
Expenses,147.0,153.0,109.0,166.0,191.0,152.0,221.0,215.0,203.0,195.0,258.0,335.0,373
Operating Profit,-32.0,-39.0,-15.0,-9.0,-1.0,-3.0,-1.0,-2.0,2.0,11.0,22.0,36.0,44
OPM %,-28.0,-34.0,-16.0,-6.0,-0.0,-2.0,-1.0,-1.0,1.0,5.0,8.0,10.0,11
Other Income,1.0,1.0,11.0,17.0,13.0,2.0,5.0,1.0,5.0,3.0,2.0,3.0,4
Interest,5.0,8.0,12.0,6.0,2.0,3.0,2.0,2.0,2.0,3.0,7.0,8.0,4
Depreciation,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5
Profit before tax,-40.0,-50.0,-19.0,-4.0,4.0,-9.0,-4.0,-8.0,0.0,6.0,12.0,26.0,39
Tax %,-0.0,-0.0,-0.0,-0.0,-0.0,-24.0,-0.0,-0.0,-1820.0,1.0,2.0,-0.0,
Net Profit,-40.0,-50.0,-19.0,-4.0,4.0,-11.0,-4.0,-8.0,2.0,6.0,12.0,26.0,34
EPS in Rs,-37.65,-47.25,-17.7,-3.52,3.79,-10.61,-3.47,-7.9,1.81,5.92,11.48,24.2,31.78
