,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.0,22.0,39.0,51.0,62.0,68.0,82.0,71.0,43.0,86.0,163.0,214
Expenses,19.0,23.0,34.0,46.0,56.0,61.0,74.0,67.0,44.0,78.0,142.0,188
Operating Profit,1.0,-1.0,4.0,5.0,6.0,7.0,8.0,4.0,-2.0,8.0,21.0,27
OPM %,5.0,-5.0,11.0,10.0,10.0,11.0,10.0,6.0,-4.0,9.0,13.0,12
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
Interest,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,5.0,5
Depreciation,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5
Profit before tax,0.0,-3.0,0.0,1.0,2.0,3.0,4.0,-1.0,-9.0,1.0,13.0,18
Tax %,32.0,29.0,-595.0,34.0,36.0,26.0,29.0,21.0,26.0,28.0,25.0,
Net Profit,0.0,-2.0,1.0,1.0,1.0,2.0,3.0,-1.0,-6.0,1.0,10.0,12
EPS in Rs,2.25,-18.83,1.89,1.3,2.06,2.13,2.52,-1.05,-5.95,0.72,9.49,11.13
