,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,122.0,169.0,234.0,321.0,402.0,543.0,719.0,650.0,974.0,1174.0,1243
Expenses,98.0,128.0,204.0,266.0,332.0,391.0,519.0,485.0,666.0,774.0,833
Operating Profit,24.0,41.0,30.0,55.0,69.0,151.0,201.0,165.0,308.0,400.0,410
OPM %,20.0,24.0,13.0,17.0,17.0,28.0,28.0,25.0,32.0,34.0,33
Other Income,3.0,10.0,16.0,11.0,10.0,8.0,10.0,10.0,19.0,31.0,33
Interest,3.0,3.0,3.0,3.0,4.0,42.0,48.0,46.0,56.0,58.0,56
Depreciation,13.0,9.0,18.0,22.0,28.0,60.0,69.0,73.0,83.0,90.0,98
Profit before tax,11.0,38.0,24.0,41.0,47.0,58.0,93.0,56.0,187.0,282.0,289
Tax %,53.0,35.0,28.0,24.0,22.0,22.0,41.0,29.0,26.0,25.0,
Net Profit,5.0,25.0,17.0,31.0,36.0,45.0,55.0,40.0,139.0,212.0,217
EPS in Rs,8.56,26.74,18.22,33.78,8.25,10.14,12.68,9.1,14.7,20.77,21.23
