,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,95,95,95,95,95,95,95,95,95,102,404,404
Reserves,800,943,1064,1435,1937,2313,2730,2909,2731,3158,4891,6597
Borrowings,206,188,158,94,81,79,77,67,36,0,0,0
Other Liabilities,599,379,486,461,328,362,358,391,405,428,645,895
Total Liabilities,1700,1605,1803,2085,2441,2849,3260,3461,3267,3688,5939,7896
Fixed Assets,307,284,274,258,483,567,542,524,695,719,850,975
CWIP,42,42,42,270,172,71,301,285,268,322,179,137
Investments,8,8,9,6,109,107,106,225,251,356,536,567
Other Assets,1343,1272,1479,1551,1678,2104,2310,2427,2053,2291,4374,6218
Total Assets,1700,1605,1803,2085,2441,2849,3260,3461,3267,3688,5939,7896
