,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,229.0,286.0,307.0,318.0,375.0,487.0,519.0,608.0,673.0,524.0,610.0,822.0,909
Expenses,206.0,260.0,278.0,276.0,322.0,448.0,501.0,595.0,580.0,459.0,539.0,675.0,759
Operating Profit,23.0,26.0,29.0,42.0,54.0,39.0,18.0,13.0,93.0,65.0,72.0,146.0,149
OPM %,10.0,9.0,9.0,13.0,14.0,8.0,4.0,2.0,14.0,12.0,12.0,18.0,16
Other Income,2.0,1.0,3.0,-1.0,3.0,15.0,12.0,24.0,8.0,-26.0,7.0,-62.0,-18
Interest,3.0,4.0,4.0,3.0,2.0,13.0,14.0,25.0,30.0,24.0,17.0,37.0,57
Depreciation,6.0,8.0,8.0,9.0,10.0,12.0,19.0,20.0,33.0,26.0,25.0,27.0,29
Profit before tax,15.0,15.0,20.0,29.0,45.0,29.0,-3.0,-8.0,38.0,-10.0,37.0,21.0,45
Tax %,20.0,2.0,18.0,31.0,35.0,50.0,-181.0,9.0,21.0,-104.0,38.0,123.0,
Net Profit,12.0,15.0,16.0,20.0,29.0,15.0,-8.0,-8.0,30.0,-21.0,23.0,-5.0,23
EPS in Rs,6.04,7.32,8.01,7.14,10.51,3.74,-2.18,-2.15,7.88,-5.74,5.86,-1.37,5.80
