,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,140.0,119.0,260.0,268.0,300.0,357.0,527.0,429.0,343.0,564.0,669.0,672
Expenses,132.0,110.0,251.0,247.0,281.0,337.0,478.0,384.0,317.0,504.0,606.0,604
Operating Profit,7.0,10.0,9.0,21.0,19.0,20.0,48.0,45.0,26.0,60.0,62.0,68
OPM %,5.0,8.0,4.0,8.0,6.0,5.0,9.0,11.0,7.0,11.0,9.0,10
Other Income,0.0,0.0,2.0,2.0,5.0,3.0,6.0,3.0,8.0,3.0,4.0,3
Interest,5.0,7.0,5.0,10.0,9.0,9.0,13.0,15.0,12.0,13.0,16.0,18
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,8.0,9.0,8.0,8.0,8.0,8
Profit before tax,0.0,0.0,4.0,10.0,12.0,11.0,33.0,24.0,13.0,42.0,42.0,44
Tax %,0.0,0.0,30.0,32.0,35.0,35.0,35.0,24.0,26.0,26.0,26.0,
Net Profit,0.0,0.0,3.0,7.0,8.0,7.0,21.0,18.0,10.0,31.0,31.0,33
EPS in Rs,0.4,0.38,2.54,6.8,7.42,3.38,9.64,8.28,4.47,14.04,14.09,15.03
