,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15,9.15
Reserves,2.55,3.24,4.54,22.92,22.42,21.45,20.01,20.42,20.65,20.43,20.41
Borrowings,30.43,38.29,37.2,37.41,36.02,32.15,19.03,15.63,14.71,9.48,12.65
Other Liabilities,15.76,23.42,15.58,28.13,39.43,54.07,8.91,8.18,8.46,7.11,7.06
Total Liabilities,57.89,74.1,66.47,97.61,107.02,116.82,57.1,53.38,52.97,46.17,49.27
Fixed Assets,5.22,5.24,5.2,21.45,21.36,21.3,21.24,21.19,21.14,21.08,21.09
CWIP,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Investments,3.26,3.38,5.73,8.27,7.97,7.2,5.15,3.5,3.55,3.6,3.68
Other Assets,49.21,65.28,55.34,67.69,77.49,88.12,30.51,28.49,28.08,21.29,24.3
Total Assets,57.89,74.1,66.47,97.61,107.02,116.82,57.1,53.38,52.97,46.17,49.27
